文字	コードポイント組
(‍)	U+0028 U+200D U+0029	
(中)	U+0028 U+4E2D U+0029	
(事)	U+0028 U+4E8B U+0029	
(共)	U+0028 U+5171 U+0029	
(内)	U+0028 U+5185 U+0029	
(医)	U+0028 U+533B U+0029	
(叠)	U+0028 U+53E0 U+0029	
(営)	U+0028 U+55B6 U+0029	
(大)	U+0028 U+5927 U+0029	
(宗)	U+0028 U+5B97 U+0029	
(支)	U+0028 U+652F U+0029	
(本)	U+0028 U+672C U+0029	
(機)	U+0028 U+6A5F U+0029	
(相)	U+0028 U+76F8 U+0029	
(研)	U+0028 U+7814 U+0029	
(販)	U+0028 U+8CA9 U+0029	
a̿	U+0061 U+033F	
e̤̿	U+0065 U+0324 U+033F	
e̿	U+0065 U+033F	
i̍	U+0069 U+030D	
i̿	U+0069 U+033F	
o̤̿	U+006F U+0324 U+033F	
o̿	U+006F U+033F	
u̿	U+0075 U+033F	
è̤	U+00E8 U+0324	
é̤	U+00E9 U+0324	
ê̤	U+00EA U+0324	
ò̤	U+00F2 U+0324	
ó̤	U+00F3 U+0324	
ô̤	U+00F4 U+0324	
ą́	U+0105 U+0301	
ĕ̤	U+0115 U+0324	
ę́	U+0119 U+0301	
į́	U+012F U+0301	
ō̤	U+014D U+0324	
ŏ̤	U+014F U+0324	
ǫ́	U+01EB U+0301	
˥˦	U+02E5 U+02E6	
˥˧	U+02E5 U+02E7	
˥˧˥	U+02E5 U+02E7 U+02E5	
˥˨	U+02E5 U+02E8	
˥˩	U+02E5 U+02E9	
˥˩˧	U+02E5 U+02E9 U+02E7	
˦˥	U+02E6 U+02E5	
˦˥˦	U+02E6 U+02E5 U+02E6	
˦˧	U+02E6 U+02E7	
˦˨	U+02E6 U+02E8	
˦˨˦	U+02E6 U+02E8 U+02E6	
˦˩	U+02E6 U+02E9	
˧˥	U+02E7 U+02E5	
˧˥˧	U+02E7 U+02E5 U+02E7	
˧˥˩	U+02E7 U+02E5 U+02E9	
˧˦	U+02E7 U+02E6	
˧˨	U+02E7 U+02E8	
˧˩˥	U+02E7 U+02E9 U+02E5	
˧˩˧	U+02E7 U+02E9 U+02E7	
˧˩˨	U+02E7 U+02E9 U+02E8	
˨˥	U+02E8 U+02E5	
˨˦	U+02E8 U+02E6	
˨˦˨	U+02E8 U+02E6 U+02E8	
˨˧	U+02E8 U+02E7	
˨˩	U+02E8 U+02E9	
˨˩˦	U+02E8 U+02E9 U+02E6	
˨˩˨	U+02E8 U+02E9 U+02E8	
˩˥	U+02E9 U+02E5	
˩˥˧	U+02E9 U+02E5 U+02E7	
˩˦	U+02E9 U+02E6	
˩˧	U+02E9 U+02E7	
˩˧˩	U+02E9 U+02E7 U+02E9	
˩˨	U+02E9 U+02E8	
і́	U+0456 U+0301	
і̂	U+0456 U+0302	
ट्ट	U+091F U+094D U+091F	
ट्ठ	U+091F U+094D U+0920	
ठ्ठ	U+0920 U+094D U+0920	
द्द	U+0926 U+094D U+0926	
द्ध	U+0926 U+094D U+0927	
द्ध्र्य	U+0926 U+094D U+0927 U+094D U+0930 U+094D U+092F	
द्भ	U+0926 U+094D U+092D	
द्म	U+0926 U+094D U+092E	
श्व	U+0936 U+094D U+0935	
ह्ण	U+0939 U+094D U+0923	
가ᇇ	U+1100 U+1161 U+11C7	
가ᇝ	U+1100 U+1161 U+11DD	
가ᇧ	U+1100 U+1161 U+11E7	
가ᇰ	U+1100 U+1161 U+11F0	
가ᇾ	U+1100 U+1161 U+11FE	
거ᇰ	U+1100 U+1165 U+11F0	
겨ᇰ	U+1100 U+1167 U+11F0	
고ᇰ	U+1100 U+1169 U+11F0	
과ᇰ	U+1100 U+116A U+11F0	
괴ᇰ	U+1100 U+116C U+11F0	
구ᇰ	U+1100 U+116E U+11F0	
궈ᇇ	U+1100 U+116F U+11C7	
그ᇝ	U+1100 U+1173 U+11DD	
그ᇫ	U+1100 U+1173 U+11EB	
그ᇰ	U+1100 U+1173 U+11F0	
ᄀᆞ	U+1100 U+119E	
ᄀᆞᆨ	U+1100 U+119E U+11A8	
ᄀᆞᆫ	U+1100 U+119E U+11AB	
ᄀᆞᆮ	U+1100 U+119E U+11AE	
ᄀᆞᆯ	U+1100 U+119E U+11AF	
