文字	コードポイント組
(‍)	((U+0028) ‍(U+200D) )(U+0029)
(中)	((U+0028) 中(U+4E2D) )(U+0029)
(事)	((U+0028) 事(U+4E8B) )(U+0029)
(共)	((U+0028) 共(U+5171) )(U+0029)
(内)	((U+0028) 内(U+5185) )(U+0029)
(医)	((U+0028) 医(U+533B) )(U+0029)
(叠)	((U+0028) 叠(U+53E0) )(U+0029)
(営)	((U+0028) 営(U+55B6) )(U+0029)
(大)	((U+0028) 大(U+5927) )(U+0029)
(宗)	((U+0028) 宗(U+5B97) )(U+0029)
(支)	((U+0028) 支(U+652F) )(U+0029)
(本)	((U+0028) 本(U+672C) )(U+0029)
(機)	((U+0028) 機(U+6A5F) )(U+0029)
(相)	((U+0028) 相(U+76F8) )(U+0029)
(研)	((U+0028) 研(U+7814) )(U+0029)
(販)	((U+0028) 販(U+8CA9) )(U+0029)
a̿	a(U+0061) ̿(U+033F)
e̤̿	e(U+0065) ̤(U+0324) ̿(U+033F)
e̿	e(U+0065) ̿(U+033F)
i̍	i(U+0069) ̍(U+030D)
i̿	i(U+0069) ̿(U+033F)
o̤̿	o(U+006F) ̤(U+0324) ̿(U+033F)
o̿	o(U+006F) ̿(U+033F)
u̿	u(U+0075) ̿(U+033F)
è̤	è(U+00E8) ̤(U+0324)
é̤	é(U+00E9) ̤(U+0324)
ê̤	ê(U+00EA) ̤(U+0324)
ò̤	ò(U+00F2) ̤(U+0324)
ó̤	ó(U+00F3) ̤(U+0324)
ô̤	ô(U+00F4) ̤(U+0324)
ą́	ą(U+0105) ́(U+0301)
ĕ̤	ĕ(U+0115) ̤(U+0324)
ę́	ę(U+0119) ́(U+0301)
į́	į(U+012F) ́(U+0301)
ō̤	ō(U+014D) ̤(U+0324)
ŏ̤	ŏ(U+014F) ̤(U+0324)
ǫ́	ǫ(U+01EB) ́(U+0301)
˥˦	˥(U+02E5) ˦(U+02E6)
˥˧	˥(U+02E5) ˧(U+02E7)
˥˧˥	˥(U+02E5) ˧(U+02E7) ˥(U+02E5)
˥˨	˥(U+02E5) ˨(U+02E8)
˥˩	˥(U+02E5) ˩(U+02E9)
˥˩˧	˥(U+02E5) ˩(U+02E9) ˧(U+02E7)
˦˥	˦(U+02E6) ˥(U+02E5)
˦˥˦	˦(U+02E6) ˥(U+02E5) ˦(U+02E6)
˦˧	˦(U+02E6) ˧(U+02E7)
˦˨	˦(U+02E6) ˨(U+02E8)
˦˨˦	˦(U+02E6) ˨(U+02E8) ˦(U+02E6)
˦˩	˦(U+02E6) ˩(U+02E9)
˧˥	˧(U+02E7) ˥(U+02E5)
˧˥˧	˧(U+02E7) ˥(U+02E5) ˧(U+02E7)
˧˥˩	˧(U+02E7) ˥(U+02E5) ˩(U+02E9)
˧˦	˧(U+02E7) ˦(U+02E6)
˧˨	˧(U+02E7) ˨(U+02E8)
˧˩˥	˧(U+02E7) ˩(U+02E9) ˥(U+02E5)
˧˩˧	˧(U+02E7) ˩(U+02E9) ˧(U+02E7)
˧˩˨	˧(U+02E7) ˩(U+02E9) ˨(U+02E8)
˨˥	˨(U+02E8) ˥(U+02E5)
˨˦	˨(U+02E8) ˦(U+02E6)
˨˦˨	˨(U+02E8) ˦(U+02E6) ˨(U+02E8)
˨˧	˨(U+02E8) ˧(U+02E7)
˨˩	˨(U+02E8) ˩(U+02E9)
˨˩˦	˨(U+02E8) ˩(U+02E9) ˦(U+02E6)
˨˩˨	˨(U+02E8) ˩(U+02E9) ˨(U+02E8)
˩˥	˩(U+02E9) ˥(U+02E5)
˩˥˧	˩(U+02E9) ˥(U+02E5) ˧(U+02E7)
˩˦	˩(U+02E9) ˦(U+02E6)
˩˧	˩(U+02E9) ˧(U+02E7)
˩˧˩	˩(U+02E9) ˧(U+02E7) ˩(U+02E9)
˩˨	˩(U+02E9) ˨(U+02E8)
і́	і(U+0456) ́(U+0301)
і̂	і(U+0456) ̂(U+0302)
ट्ट	ट(U+091F) ्(U+094D) ट(U+091F)
ट्ठ	ट(U+091F) ्(U+094D) ठ(U+0920)
ठ्ठ	ठ(U+0920) ्(U+094D) ठ(U+0920)
द्द	द(U+0926) ्(U+094D) द(U+0926)
द्ध	द(U+0926) ्(U+094D) ध(U+0927)
द्ध्र्य	द(U+0926) ्(U+094D) ध(U+0927) ्(U+094D) र(U+0930) ्(U+094D) य(U+092F)
द्भ	द(U+0926) ्(U+094D) भ(U+092D)
द्म	द(U+0926) ्(U+094D) म(U+092E)
श्व	श(U+0936) ्(U+094D) व(U+0935)
ह्ण	ह(U+0939) ्(U+094D) ण(U+0923)
가ᇇ	ᄀ(U+1100) ᅡ(U+1161) ᇇ(U+11C7)
가ᇝ	ᄀ(U+1100) ᅡ(U+1161) ᇝ(U+11DD)
가ᇧ	ᄀ(U+1100) ᅡ(U+1161) ᇧ(U+11E7)
가ᇰ	ᄀ(U+1100) ᅡ(U+1161) ᇰ(U+11F0)
가ᇾ	ᄀ(U+1100) ᅡ(U+1161) ᇾ(U+11FE)
거ᇰ	ᄀ(U+1100) ᅥ(U+1165) ᇰ(U+11F0)
겨ᇰ	ᄀ(U+1100) ᅧ(U+1167) ᇰ(U+11F0)
고ᇰ	ᄀ(U+1100) ᅩ(U+1169) ᇰ(U+11F0)
과ᇰ	ᄀ(U+1100) ᅪ(U+116A) ᇰ(U+11F0)
괴ᇰ	ᄀ(U+1100) ᅬ(U+116C) ᇰ(U+11F0)
구ᇰ	ᄀ(U+1100) ᅮ(U+116E) ᇰ(U+11F0)
궈ᇇ	ᄀ(U+1100) ᅯ(U+116F) ᇇ(U+11C7)
그ᇝ	ᄀ(U+1100) ᅳ(U+1173) ᇝ(U+11DD)
그ᇫ	ᄀ(U+1100) ᅳ(U+1173) ᇫ(U+11EB)
그ᇰ	ᄀ(U+1100) ᅳ(U+1173) ᇰ(U+11F0)
ᄀᆞ	ᄀ(U+1100) ᆞ(U+119E)
ᄀᆞᆨ	ᄀ(U+1100) ᆞ(U+119E) ᆨ(U+11A8)
ᄀᆞᆫ	ᄀ(U+1100) ᆞ(U+119E) ᆫ(U+11AB)
ᄀᆞᆮ	ᄀ(U+1100) ᆞ(U+119E) ᆮ(U+11AE)
ᄀᆞᆯ	ᄀ(U+1100) ᆞ(U+119E) ᆯ(U+11AF)
ᄀᆞᆷ	ᄀ(U+1100) ᆞ(U+119E) ᆷ(U+11B7)
ᄀᆞᆸ	ᄀ(U+1100) ᆞ(U+119E) ᆸ(U+11B8)
ᄀᆞᆺ	ᄀ(U+1100) ᆞ(U+119E) ᆺ(U+11BA)
ᄀᆞᆽ	ᄀ(U+1100) ᆞ(U+119E) ᆽ(U+11BD)
ᄀᆞᇀ	ᄀ(U+1100) ᆞ(U+119E) ᇀ(U+11C0)
ᄀᆞᇫ	ᄀ(U+1100) ᆞ(U+119E) ᇫ(U+11EB)
ᄀᆡ	ᄀ(U+1100) ᆡ(U+11A1)
ᄀᆡᆨ	ᄀ(U+1100) ᆡ(U+11A1) ᆨ(U+11A8)
ᄀᆡᇑ	ᄀ(U+1100) ᆡ(U+11A1) ᇑ(U+11D1)
ᄁᅶ	ᄁ(U+1101) ᅶ(U+1176)
ᄁᆞ	ᄁ(U+1101) ᆞ(U+119E)
ᄁᆞᆷ	ᄁ(U+1101) ᆞ(U+119E) ᆷ(U+11B7)
ᄁᆞᆺ	ᄁ(U+1101) ᆞ(U+119E) ᆺ(U+11BA)
나ᇚ	ᄂ(U+1102) ᅡ(U+1161) ᇚ(U+11DA)
냐ᇰ	ᄂ(U+1102) ᅣ(U+1163) ᇰ(U+11F0)
녀ᇇ	ᄂ(U+1102) ᅧ(U+1167) ᇇ(U+11C7)
노ᇰ	ᄂ(U+1102) ᅩ(U+1169) ᇰ(U+11F0)
누ᇇ	ᄂ(U+1102) ᅮ(U+116E) ᇇ(U+11C7)
니ᇰ	ᄂ(U+1102) ᅵ(U+1175) ᇰ(U+11F0)
ᄂᆞ	ᄂ(U+1102) ᆞ(U+119E)
ᄂᆞᆫ	ᄂ(U+1102) ᆞ(U+119E) ᆫ(U+11AB)
ᄂᆞᆯ	ᄂ(U+1102) ᆞ(U+119E) ᆯ(U+11AF)
ᄂᆞᆶ	ᄂ(U+1102) ᆞ(U+119E) ᆶ(U+11B6)
ᄂᆞᆷ	ᄂ(U+1102) ᆞ(U+119E) ᆷ(U+11B7)
ᄂᆞᆺ	ᄂ(U+1102) ᆞ(U+119E) ᆺ(U+11BA)
ᄂᆞᆼ	ᄂ(U+1102) ᆞ(U+119E) ᆼ(U+11BC)
ᄂᆞᆾ	ᄂ(U+1102) ᆞ(U+119E) ᆾ(U+11BE)
ᄂᆡ	ᄂ(U+1102) ᆡ(U+11A1)
ᄂᆢᆼ	ᄂ(U+1102) ᆢ(U+11A2) ᆼ(U+11BC)
다ᇰ	ᄃ(U+1103) ᅡ(U+1161) ᇰ(U+11F0)
댜ᇰ	ᄃ(U+1103) ᅣ(U+1163) ᇰ(U+11F0)
더ᇰ	ᄃ(U+1103) ᅥ(U+1165) ᇰ(U+11F0)
뎌ᇰ	ᄃ(U+1103) ᅧ(U+1167) ᇰ(U+11F0)
도ᇰ	ᄃ(U+1103) ᅩ(U+1169) ᇰ(U+11F0)
듀ᇰ	ᄃ(U+1103) ᅲ(U+1172) ᇰ(U+11F0)
드ᇰ	ᄃ(U+1103) ᅳ(U+1173) ᇰ(U+11F0)
드ᇱ	ᄃ(U+1103) ᅳ(U+1173) ᇱ(U+11F1)
ᄃᆞ	ᄃ(U+1103) ᆞ(U+119E)
ᄃᆞᆨ	ᄃ(U+1103) ᆞ(U+119E) ᆨ(U+11A8)
ᄃᆞᆫ	ᄃ(U+1103) ᆞ(U+119E) ᆫ(U+11AB)
